round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,shapes
14,3.0826804637908936,0.6478174924850464,0.5553625822067261,0.6670995950698853,relu,13,0.4,150,100,2,sigmoid,4.1,funnel
37,2.3700430393218994,0.4781942367553711,0.462076872587204,0.43842995166778564,sigmoid,21,0.30000000000000004,150,4,2,sigmoid,0.5,funnel
30,2.2746219635009766,0.1710701584815979,0.3798231780529022,0.34707286953926086,sigmoid,27,0.30000000000000004,150,8,2,sigmoid,3.1999999999999997,brick
7,1.8739824295043945,0.11538222432136536,0.6384598612785339,0.07418584823608398,sigmoid,7,0.2,150,8,0,sigmoid,3.1999999999999997,funnel
15,2.8603920936584473,0.006556296721100807,0.41100651025772095,0.00042020820546895266,sigmoid,21,0.4,150,100,2,sigmoid,2.75,brick
20,2.202406167984009,0.01046715397387743,0.3230912685394287,0.0004393085546325892,sigmoid,16,0.30000000000000004,150,64,2,sigmoid,1.4,brick
14,0.9354354739189148,0.002573812147602439,0.27872851490974426,0.017400439828634262,sigmoid,18,0.1,150,128,1,sigmoid,3.6499999999999995,brick
13,2.2689836025238037,0.7868893146514893,0.381490021944046,0.8756183981895447,sigmoid,13,0.30000000000000004,150,32,1,sigmoid,3.6499999999999995,funnel
38,0.2929474711418152,0.8915703892707825,0.29182443022727966,0.89112788438797,sigmoid,24,0.0,150,4,1,sigmoid,1.4,funnel
13,2.2532403469085693,0.037427715957164764,0.3858056962490082,0.01969248428940773,sigmoid,4,0.30000000000000004,150,32,1,sigmoid,0.95,brick
